id,name,country,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total
e3c30009016a1641ae94748240d91c5e, M. Ferreira,portugal,europe,0,0,1,1,0,2,1,1,0,1,0,1,0,0,8
18f6abd487433cd8959503cfc810931c, M. Piattini,españa,europe,1,1,1,0,0,0,0,2,0,0,2,1,0,0,8
650ad3d4ed83d5bbb061230634cb8a9b, M. de Paiva Guimarães,,,0,0,0,3,1,1,0,2,0,0,0,1,0,0,8
5e8a6bbf1587a34ad383eea058634fff, A. P. F. de Araujo,brazil,south america,0,0,1,1,0,0,0,4,1,0,1,0,0,0,8
3e545770f79cb9f28f185593943225c3, J. Echeverri,colombia,south america,0,0,0,1,3,3,0,0,0,0,1,0,0,0,8
0ff712ebf151d85d5aedbed6f07722e8, R. C. M. Correia,brazil,south america,0,0,1,0,0,0,1,4,0,0,2,0,0,0,8
c6d139b236d25b78c96a662d0ff32b99, L. G. Palacio,colombia,south america,0,0,0,0,1,0,0,4,1,0,2,0,0,0,8
a1b2230ee9077f016a923559685e4b95, M. L. Caliusco,argentina,south america,0,0,1,1,1,1,1,1,1,1,0,0,0,0,8
86aa611153c615bff87fbe3a35128f3f, M. T. de Holanda,brazil,south america,0,0,0,0,0,0,0,6,2,0,0,0,0,0,8
6fc7f8b955918f7464ba32efd7bf68c5, L. Rodriguez-Linares,spain,europe,1,0,2,2,0,0,0,1,2,0,0,0,0,0,8
931fecb07a40c91d340f96becee14885, X. A. Vila,spain,europe,1,0,2,2,0,0,1,1,1,0,0,0,0,0,8
6791e9bdf6dec495502a641a0e91a9b2, E. C. Genvigir,brazil,south america,0,0,2,1,2,0,3,0,0,0,0,0,0,0,8
3208d4f31fe0da4b7335ae026b2da18b, R. A. Lara-Cueva,ecuador,south america,0,0,0,0,0,0,0,1,1,2,1,0,1,1,7
4dd6cb860bb02385414f28bcdfa0a960, V. Villarreal,panama,central america,0,0,0,0,0,0,0,0,0,0,1,2,2,2,7
2353fc5c77396fa65f215c9b4b5b1eb8, F. Cardoso,portugal,europe,0,0,1,0,0,0,0,0,0,0,0,0,0,6,7
d03442c21a7be6c0d88c8ce6423fff72, R. Santos,portugal,europe,0,0,0,1,0,2,0,0,0,2,0,1,0,1,7
f67f0805a2237777f7fbbd0d14f018ca, M. Leba,romania,europe,0,0,0,0,0,0,0,2,0,0,0,0,0,5,7
b73b0b5d538413019fa2704556cb77ef, V. Baldi,portugal,europe,0,0,0,0,0,0,0,2,1,1,0,0,2,1,7
9b5a70173b35316a51da0f16187ab687, D. Rivera-Rogel,ecuador,south america,0,0,0,0,0,0,0,0,0,2,2,0,1,2,7
9be354b29b84019a04441e0491b1170c, J. L. V. Noguera,paraguay,south america,0,0,0,0,0,0,0,0,0,0,2,0,2,3,7
77567e4718de72131754bf1560b288b2, C. P. Sarango-Lapo,ecuador,south america,0,0,0,0,0,0,0,1,3,0,0,0,1,2,7
